Shot,FrameId
forehand-gs,73
forehand-gs,154
forehand-gs,220
forehand-gs,300
forehand-gs,371
forehand-volley,438
forehand-volley,508
backhand-gs,577
backhand-gs,656
backhand-gs,723
backhand-gs,789
backhand-gs,854
forehand-gs,928
backhand-gs,992
forehand-volley,1052
forehand-volley,1119
backhand-volley,1184
forehand-volley,1252
forehand-gs,1321
forehand-volley,1400
backhand-volley,1463
backhand-volley,1532
backhand-volley,1625
backhand-volley,1700
forehand-volley,1809
backhand-volley,1874
forehand-volley,1934
forehand-volley,2017
forehand-volley,2086
backhand-volley,2143
forehand-volley,2202
forehand-volley,2266
backhand-gs,2324
backhand-volley,2393
forehand-gs,2495
backhand-volley,2559
backhand-volley,2622
backhand-volley,2694
forehand-gs,2748
forehand-volley,2861
backhand-volley,2924
forehand-gs,2986
forehand-gs,3053
backhand-volley,3110
backhand-volley,3187
forehand-gs,3251
forehand-gs,3315
forehand-gs,3384
backhand-volley,3442
forehand-gs,3505
forehand-gs,3585
backhand-volley,3648
backhand-volley,3720
forehand-gs,3784
backhand-gs,3843
backhand-gs,3904
forehand-volley,4228
backhand-gs,4286
forehand-volley,4343
backhand-volley,4407
backhand-volley,4463
forehand-gs,4524
forehand-volley,4584
forehand-volley,4644
backhand-volley,4696
backhand-volley,4758
forehand-volley,4823
forehand-volley,4947
forehand-volley,5008
backhand-volley,5079
backhand-volley,5147
backhand-volley,5216
backhand-volley,5271
forehand-gs,5333
forehand-gs,5392
backhand-volley,5459
forehand-gs,5546
forehand-volley,5608
forehand-volley,5668
forehand-volley,5726
backhand-volley,5786
backhand-volley,5843
forehand-gs,5907
backhand-volley,5957
forehand-gs,6096
backhand-gs,6244
forehand-gs,6592
backhand-gs,6655
backhand-volley,6718
forehand-gs,6776
forehand-gs,6834
forehand-gs,6891
backhand-volley,6955
backhand-volley,7019
forehand-volley,7094
forehand-volley,7154
forehand-volley,7217
backhand-volley,7279
forehand-volley,7340
backhand-volley,7406
backhand-volley,7466
backhand-volley,7532
forehand-gs,7853
forehand-volley,7904
forehand-volley,7969
backhand-gs,8034
forehand-gs,8155
backhand-volley,8204
backhand-volley,8266
forehand-gs,8337
backhand-volley,8398
backhand-volley,8457
forehand-gs,8594
backhand-volley,8645
forehand-volley,8711
forehand-volley,8772
backhand-gs,8884
backhand-gs,8946
forehand-gs,9003
forehand-gs,9067
backhand-volley,9126
backhand-volley,9187
backhand-gs,9244
backhand-gs,9307
backhand-gs,9366
forehand-gs,9456
backhand-gs,9520
backhand-volley,9574
backhand-volley,9645
backhand-gs,9734
backhand-gs,10127
backhand-gs,10202
backhand-gs,10265
backhand-gs,10323
backhand-gs,10380
forehand-gs,10450
backhand-gs,10511
backhand-gs,10576
backhand-gs,10630
forehand-gs,10744
backhand-gs,10809
forehand-gs,10883
backhand-gs,10943
forehand-volley,11003
forehand-gs,11065
forehand-gs,11119
backhand-volley,11174
backhand-volley,11232
backhand-volley,11290
forehand-gs,11344
forehand-gs,11403
backhand-volley,11459
forehand-gs,11516
forehand-gs,11586
forehand-gs,11646
forehand-gs,11705
forehand-gs,11759
forehand-gs,11816
forehand-gs,11875
backhand-volley,11931
backhand-gs,11991
forehand-gs,12047
forehand-gs,12100
forehand-gs,12160
forehand-gs,12213
forehand-gs,12271
forehand-gs,12323
backhand-volley,12383
backhand-volley,12441
backhand-volley,12493
backhand-gs,12623
backhand-gs,12735
backhand-gs,12797
backhand-gs,12865
forehand-gs,12926
forehand-gs,12979
backhand-gs,13043
forehand-gs,13112
backhand-gs,13236
forehand-gs,13292
forehand-volley,13565
forehand-gs,13628
forehand-gs,13691
forehand-volley,13756
backhand-volley,13812
backhand-volley,13876
forehand-gs,13932
backhand-volley,13999
forehand-gs,14061
backhand-gs,14120
backhand-gs,14187
backhand-volley,14264
